Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Armenia,ARM,"Foreign direct investment, net inflows (% of GDP)",BX.KLT.DINV.WD.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.188555394,0.066593811,0.608291637,1.724422757,1.100209246,3.168053635,12.27077974,6.612580809,5.450433156,3.298067417,4.659499749,4.376570097,6.909902013,5.960106869,7.3073145,7.252332321,8.092349216,8.788694204,5.716037337,6.440668064,4.676727594,3.111931856,3.502114156,1.744737016,3.165367277,2.192573376,2.142047832,0.736361516,0.46340885,2.643635933,5.117502332
American Samoa,ASM,"Foreign direct investment, net inflows (% of GDP)",BX.KLT.DINV.WD.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,ATG,"Foreign direct investment, net inflows (% of GDP)",BX.KLT.DINV.WD.GD.ZS,,,,,,,,,,,,,,,,,,2.838828589,-7.851674675,7.792447419,14.91276489,15.1513374,13.99288246,2.745079414,2.111599509,6.475072997,7.781293571,11.44696733,8.266114709,9.824047262,13.19071072,11.37466266,3.93528478,2.847809989,4.205572242,5.454043858,3.053644795,3.371116686,3.128911776,6.759662403,5.217506275,12.29912553,8.08774098,19.42104893,8.73806634,21.60032983,30.9952184,25.76289072,11.58946123,6.565554607,8.416401826,5.72771404,10.78106076,11.36647426,3.701837809,8.530357747,6.782192764,10.30491881,12.75001898,7.654930828,5.451310501,15.67303774,11.14304476
Australia,AUS,"Foreign direct investment, net inflows (% of GDP)",BX.KLT.DINV.WD.GD.ZS,,,,,,,,,,,2.160804751,2.554718515,2.025313284,0.211554283,1.492436873,0.461468108,0.996865757,1.033991192,1.415168609,1.104523037,1.244278706,1.326542619,1.178289842,1.687298652,0.22129836,1.161805087,2.942785466,2.73923785,3.589365475,2.675497566,2.715781934,0.801292526,1.518099665,1.701950025,1.38115065,3.604293777,1.137261239,1.856706459,1.901014526,0.567790645,3.581377472,2.825072397,3.705086258,1.921986141,6.984507822,-3.608940167,4.084877265,5.20115546,4.277788996,3.088773059,3.065616195,4.68766147,3.720244788,3.455208666,4.306566026,3.472048815,3.561314935,3.633606907,4.248920486,2.798375165,1.153579678,1.599454297,4.00609816
Austria,AUT,"Foreign direct investment, net inflows (% of GDP)",BX.KLT.DINV.WD.GD.ZS,,,,,,,,,,,0.732777983,0.799227882,0.659123093,0.544663569,0.503135898,0.197482692,0.212360453,0.187813706,0.229467874,0.253498583,0.291619754,0.461073495,0.291714011,0.299662997,0.16950712,0.243804294,0.185185793,0.318512007,0.33405512,0.437230959,0.392278455,0.207141576,0.761498882,0.590980025,1.019884108,0.757178582,1.822337535,1.254274377,2.094684188,1.369102304,4.308900395,2.880598393,0.064528798,2.362045255,1.056085516,25.65582783,3.12253335,17.69484601,1.458422741,3.559366135,-5.610176315,5.324236737,1.274693933,0.104862186,0.386858115,-2.088056539,-7.310916958,3.23990498,-6.287101585,-2.787548839,-2.680620687,2.566072471,-0.298877447
Azerbaijan,AZE,"Foreign direct investment, net inflows (% of GDP)",BX.KLT.DINV.WD.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000636783,1.843872431,13.65347926,19.74737673,28.13569005,23.00678789,11.13926038,2.464373862,14.35938713,32.46550453,55.07287666,54.36502325,33.79579783,21.38014047,13.90110039,8.161104134,6.547465079,6.337255133,6.800503469,7.596522058,3.532116326,5.888465521,7.626067026,11.88281397,7.016695177,2.977975308,3.121830561,1.187903872,-3.114734473,-5.683969534
Burundi,BDI,"Foreign direct investment, net inflows (% of GDP)",BX.KLT.DINV.WD.GD.ZS,,,,,,,,,,,0.041197603,,0.166123341,0.144575222,0.063719451,0.076011909,0.017840706,-0.045659135,0.14584771,-0.038338821,0.500148584,1.143391787,0.088825529,0.280720857,0.120549786,0.046832717,0.12682003,0.120879772,0.110552499,0.050921501,0.11089421,0.076452053,0.055407891,0.050464886,0.000427861,0.198107378,0,0,0,-0.058805185,1.342151992,-0.001304856,0,0,0.004882857,0.052340421,0.002481105,0.036885807,0.237816297,0.0195573,0.038411913,0.150056711,0.025925039,4.761250643,3.021202634,1.598672973,0.002095693,0.01161973,0.036883387,0.040556948,0.329176288,0.357862404,0.41919784
Belgium,BEL,"Foreign direct investment, net inflows (% of GDP)",BX.KLT.DINV.WD.GD.ZS,,,,,,,,,,,1.175757114,1.435198353,1.037371775,1.505954653,2.029158567,1.453450549,1.225906902,1.539028796,1.418122729,0.97156477,1.217999173,1.323832479,1.598528905,1.479281134,0.467153203,1.218860737,0.608121459,1.576310715,3.211644354,4.274890291,3.918892271,4.447539571,4.806934393,4.783692639,3.476574826,3.711024447,5.03718761,4.74788988,8.776794077,46.34845715,37.4753123,37.25646948,7.01242444,10.86487449,12.05211067,8.727177202,14.40787139,20.50267401,36.80292045,16.00700292,26.066982,31.26598335,2.380369601,-5.680612374,-2.840147495,-4.220796953,12.08629548,-7.416757538,-7.657179957,-3.989794483,-4.635556118,4.044205098,1.692517422
Benin,BEN,"Foreign direct investment, net inflows (% of GDP)",BX.KLT.DINV.WD.GD.ZS,,,,,,,,,,,2.008226454,0.835638702,1.169784853,0.693926651,-0.42244655,0.279190961,0.351140008,0.416775213,0.081107268,0.300788216,0.307173114,0.1618981,-0.000960154,0.000958313,0.001088613,-0.00860657,0.082329042,0.00640036,-1.336959867,-0.074450533,-0.150760018,0.019825556,0.056291442,-0.951216877,-0.444751623,-0.35666864,-0.620945815,0.537109664,0.46002921,0.253298447,-0.363490759,0.456588184,-0.462423415,0.198870349,-0.658688596,-0.133820369,-0.175764667,1.703869736,0.492562991,-0.193121765,0.561144748,1.508440504,2.527057775,2.87863747,3.054209933,1.315011821,1.11488131,1.581704951,1.360735733,1.516207809,1.111838798,1.955814597,1.532048478
Burkina Faso,BFA,"Foreign direct investment, net inflows (% of GDP)",BX.KLT.DINV.WD.GD.ZS,,,,,,,,,,,0.087259222,0.207292045,-0.120982616,0.65207059,0.355462796,0.03191582,0.209923281,0.439346764,0.078612955,0.085216844,0.001036957,0.136836472,0.111145937,0.123728455,0.114392947,-0.092109898,0.154200993,0.056122052,0.141817377,0.216777279,0.014832486,0.018181554,0.092741652,0.099338805,0.969328505,0.412551105,0.627288499,0.398984037,0.157122695,0.233833746,0.778458204,0.196436736,0.41481589,0.614299293,0.263190307,0.848145874,1.280645787,0.284717939,0.351169724,0.59946894,0.38449222,1.190744933,2.621459908,3.64766773,2.562551547,1.959927157,3.043803499,0.018237034,1.689199431,1.007346469,-0.550797507,-0.405101383,0.642297818
Bangladesh,BGD,"Foreign direct investment, net inflows (% of GDP)",BX.KLT.DINV.WD.GD.ZS,,,,,,,,,,,,,0.001431242,0.028936308,0.017582473,0.00793555,0.053572593,0.072322993,0.057974213,-0.051460024,0.046917945,0.026469536,0.037570041,0.002294153,-0.002924127,-0.029894396,0.011189931,0.013190726,0.006916145,0.000861339,0.010249846,0.004491464,0.011737576,0.042361655,0.033012231,0.004998378,0.029134955,0.288896568,0.380236167,0.350304291,0.525362089,0.145443905,0.095579368,0.445960783,0.689472336,1.17120896,0.635657188,0.817754424,1.449748396,0.879494649,1.068934861,0.983166189,1.188102224,1.735417635,1.468713066,1.451288425,0.879488967,0.616294947,0.753510655,0.543233713,0.407944156,0.414124964,0.337983819
Bulgaria,BGR,"Foreign direct investment, net inflows (% of GDP)",BX.KLT.DINV.WD.GD.ZS,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0.019387274,0.510803242,0.400946215,0.369268429,1.086887367,0.476001632,0.886540118,4.460890489,3.574714857,6.008428853,7.56080762,5.731627734,5.515194615,9.916256621,11.74623803,13.72048191,22.90387345,31.22753188,18.8997591,7.490155551,3.631029272,3.643862703,3.293617334,3.561763599,1.913240833,4.370398437,2.756990702,3.382518488,2.725709106,3.223317036,5.105578758,2.973219729,3.612551221
Bahrain,BHR,"Foreign direct investment, net inflows (% of GDP)",BX.KLT.DINV.WD.GD.ZS,,,,,,,,,,,,,,,,,,,,,-13.60487852,0.119671754,0.780566093,1.716035318,3.602315288,2.774743282,-1.0455694,-1.058491537,5.998132318,4.680938941,2.169265594,13.41821743,18.28257949,-5.28819107,3.740326563,7.361126236,33.56601463,5.186228335,2.902019382,6.852999577,4.011545582,0.895243944,2.261808944,4.665543678,6.580210025,6.566594458,15.75086501,8.08243219,6.977577827,1.12105291,0.605800046,2.71349353,5.023465326,11.45597327,4.548430831,0.20899286,0.754928694,1.462722688,0.294085491,4.005188622,2.950114527,4.526772115,4.395795721
"Bahamas, The",BHS,"Foreign direct investment, net inflows (% of GDP)",BX.KLT.DINV.WD.GD.ZS,,,,,,,,,,,14.91763483,9.532612469,15.3037739,15.24072142,22.68184693,2.948674925,2.273789129,4.403927069,-0.132148006,0.842252953,0.307047106,2.41149667,0.17740607,-0.346260388,-0.240066631,-1.301331551,-0.533872599,0.39793664,1.302388303,0.829523187,-0.536955148,-0.041785058,0.009649405,0.882923674,0.724148512,3.117526976,2.432806872,3.316299136,2.149791753,1.943031311,3.098507145,1.230729649,1.720383373,2.144284895,3.021438297,5.727971168,6.947601367,6.718093412,8.171729024,6.651599485,8.636992163,6.619575093,4.908082645,3.618851062,2.248346282,0.651731144,3.3223273,2.485718963,3.883516859,3.692781873,4.455331841,3.323022825,9.729340122
Bosnia and Herzegovina,BIH,"Foreign direct investment, net inflows (% of GDP)",BX.KLT.DINV.WD.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.621086017,3.772320977,2.623590857,2.04280387,3.979798351,4.492168819,8.758860553,5.558444087,6.575773404,11.67376208,5.25748502,0.786371315,2.584023736,2.529526636,2.275398775,1.72337976,2.935902995,2.335292562,1.829757,2.779758731,2.937814366,2.186614353,2.140873549,2.699250081,2.630112576
Belarus,BLR,"Foreign direct investment, net inflows (% of GDP)",BX.KLT.DINV.WD.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.041086957,0.108101523,0.070318665,0.105205324,0.708145893,2.488603004,1.334908888,3.657787145,0.932726195,0.775405865,1.693053903,0.963791212,0.707816439,1.014892645,0.966132014,3.991761845,3.6013524,3.68858393,2.434656004,6.480324319,2.228179747,2.9738822,2.362560823,2.926761264,2.612756213,2.332193204,2.376265768,1.976863491,2.270099645,1.766406879,2.215893841
